SpeciesLatinName;AROCM
Indri indri ;0,072733867
Lemur catta;0,059809415
Loris tardigradus ;0,135745203
Microcebus murinus ;0,074499017
Daubentonia madagascariensis;0,052410609
Acinonyx jubatus;0,221575606
Acomys cahirinus;0,695390253
Antrozous pallidus;0,488544112
Aonyx cinereus;0,213143219
Apodemus sylvaticus;2,348836658
Balaena mysticetus;0,00745405
Bos taurus;0,084112617
Callithrix jacchus;0,197598886
Canis lupus familiaris;0,189961192
Capra hircus;0,290502545
Capreolus capreolus;0,225879174
Carollia perspicillata;0,231309955
Ceratotherium simum simum;0,082759187
Cervus canadensis;0,154880481
Cervus elaphus;0,173553717
Cheirogaleus medius;0,052247283
Chlorocebus aethiops sabaeus;0,14370317
Chrysocyon brachyurus;0,243295304
Connochaetes taurinus albojubatus;0,183448508
Crocuta crocuta;0,130703586
Cynopterus brachyotis;0,272845494
Daubentonia madagascariensis;0,054790248
Delphinapterus leucas;0,061640512
Desmodus rotundus;0,141741604
Diceros bicornis;0,032391816
Eidolon helvum;0,197940974
Elephas maximus;0,035907441
Eptesicus fuscus;0,072519033
Equus africanus somaliensis;0,287125141
Equus caballus;0,103989759
Equus quagga;0,141253651
Eulemur albifrons;0,086405042
Eulemur collaris;0,060180997
Eulemur coronatus;0,087036205
Eulemur flavifrons;0,079286933
Eulemur macaco;0,068185316
Eulemur mongoz;0,055512322
Eulemur rubriventer;0,063207065
Eulemur sanfordi;0,080051753
Felis catus;0,123134672
Globicephala macrorhynchus;0,05378267
Gorilla gorilla;0,05384439
Hapalemur griseus;0,083879526
Heterocephalus glaber;0,15875353
Hippotragus equinus;0,2065685
Hippotragus niger;0,155615164
Homo sapiens;0,015313255
Lagenorhynchus obliquidens;0,044987494
Lemur catta;0,056408232
Leptonycteris yerbabuenae;0,487978387
Litocranius walleri;0,370825673
Loxodonta africana;0,057913729
Macaca mulatta;0,091559483
Macropus giganteus;0,09439033
Macropus rufogriseus;0,225321224
Macropus rufus;0,134640493
Marmota flaviventris;0,218685507
Megaptera novaeangliae;0,047521276
Microtus ochrogaster;2,141932347
Mirza zaza;0,099885104
Molossus molossus;0,574938873
Monodelphis domestica;0,798087669
Mus musculus;0,947651595
Myotis lucifugus;0,365906243
Myotis myotis;0,230531605
Myotis vivesi;1,081279638
Nanger dama;0,651598473
Nycticebus coucang;0,126781987
Nycticebus pygmaeus;0,101837265
Nycticeius humeralis;0,515378244
Odobenus rosmarus divergens;0,061745578
Orcinus orca;0,026333449
Oreamnos americanus;0,22637387
Oryctolagus cuniculus;0,481122009
Otolemur crassicaudatus;0,178264056
Ovis aries;0,420277472
Panthera leo nubica;0,210088974
Panthera tigris;0,166115388
Papio hamadryas;0,108600202
Peromyscus californicus;0,967916601
Peromyscus eremicus;0,681636988
Peromyscus leucopus;0,806491591
Peromyscus maniculatus;0,912069609
Peromyscus polionotus;1,251784746
Phoca vitulina;0,064888961
Phyllostomus discolor;0,170318869
Phyllostomus hastatus;0,171931803
Propithecus coquereli;0,060756499
Propithecus diadema;0,355914989
Propithecus tattersalli;0,075248603
Pteropus hypomelanus;0,13531823
Pteropus poliocephalus;0,202492927
Pteropus pumilus;0,1545568
Pteropus rodricensis;0,143859857
Pteropus vampyrus;0,148289823
Rattus norvegicus;0,736068933
Rhinolophus ferrumequinum;0,13770894
Rhynchonycteris naso;0,172396249
Rousettus aegyptiacus;0,231908189
Saccopteryx bilineata;0,176644765
Sarcophilus harrisii;0,115823909
Sorex cinereus;1,403397216
Steno bredanensis;0,074541669
Sus scrofa domesticus;0,54392996
Sus scrofa minusculus;0,729842295
Tachyglossus aculeatus;0,181028395
Tadarida brasiliensis;0,306959982
Tragelaphus angasii;0,102240192
Tragelaphus eurycerus;0,157300618
Tragelaphus imberbis;0,16312758
Tragelaphus strepsiceros;0,158147796
Trichechus manatus;0,064072793
Tupaia longipes;1,084318804
Tupaia tana;0,859448908
Tursiops aduncus;0,021673249
Tursiops truncatus;0,040920722
Varecia rubra;0,024624019
Varecia variegata;0,061283971
Vicugna pacos;0,147652498
Zalophus californianus;0,084097845
