CpGmarker,CoefficientTraining,Symbol
cg15611364,63.12415047,OXSM
cg17605084,-44.00939313,NCKAP1L
cg26382071,40.42085373,TXNDC17
cg12743894,36.7881845,ARL14EP
cg19287114,-36.49384395,SLC44A1
cg12985418,-35.90008808,MIB1
cg19398783,35.83308293,TLR10
cg15963417,-34.69842764,PAH
cg27187881,-33.54555855,NAGA
cg09892203,-33.4823461,CACNG4
cg00943950,33.47697933,UBE2B
cg18996776,33.05057141,KPNA4
cg16340918,32.14665692,KIF11
cg23832061,-31.90246973,PPIL6
cg22736354,31.84219355,NHLRC1
cg04084157,31.62165709,VGF
cg07265300,28.3980076,PFN4
cg02503970,25.58514041,ST3GAL1
cg11426590,-24.78579343,TRIM62
cg23710218,24.15870289,MSC
cg02802055,-24.11715679,USP20
cg13631913,23.83805501,SLC25A33
cg06493994,23.37207957,SCGN
cg24304712,23.3003573,CATSPERE
cg01131735,-22.91466682,P3H4
cg24208206,22.54068526,FYCO1
cg01930621,-21.78792705,ZNF649
cg19104072,-21.59866911,B3GNT6
cg07850604,21.31021579,INSM2
cg27493997,-21.2007229,CRABP2
cg14281160,21.11147672,LLPH
cg12247247,-20.75342001,RPL17
cg08331960,-20.70742942,NHERF2
cg17726022,20.18800473,SLC38A1
cg19722847,-20.14577056,IPO8
cg21801378,19.61967861,CELF6
cg03977782,19.45230678,SIDT1
cg03929796,-19.41008226,ALAS1
cg01254459,19.18438139,PSMC6
cg09548179,-19.0323049,AMDHD2
cg09556292,-18.61940178,RCOR1
cg17896249,18.0100431,E2F4
cg26091688,-17.94903039,ZNF200
cg17009433,17.3157834,GLDC
cg06690548,-17.31209095,SLC7A11
cg26815229,-17.14738745,CYP2J2
cg15447479,17.06265852,SMO
cg27015931,-16.80473407,PDZD9
cg13550877,-16.79028681,NOXRED1
cg05492270,-16.73113119,RNF121
cg22594309,16.6352922,SYT2
cg08896629,-16.3038063,TYK2
cg11237115,-16.243299,KLHL24
cg04736140,-16.11768623,GPR161
cg06533629,16.05623965,KLF14
cg25881193,-15.99899499,BTN2A2
cg03535648,-15.95141109,PMCH
cg27367952,-15.82375956,CATIP
cg11600161,-15.57182248,TBC1D10C
cg19345165,-15.25553584,NDUFS3
cg15881088,-15.21848681,MANF
cg21296230,15.06457901,GREM1
cg14175438,-14.9517935,FAM3C
cg13409216,-14.48609953,SUPV3L1
cg04424621,-14.44777739,H2BC11
cg01137065,14.37377079,FOXK2
cg13656360,14.36406636,KMT2A
cg05316065,-14.22870517,GSDMC
cg13509147,14.22126208,CREB3L3
cg13449372,-14.12054745,MRPL43
cg10654016,13.83949625,LLPH
cg18693704,-13.80959079,CMTM4
cg13218906,-13.68132768,PCMTD2
cg25428451,-13.6572112,LINC01140
cg00462994,13.58737822,NAGS
cg03340261,13.57369508,HBS1L
cg00261781,13.39937728,MATN3
cg13514050,-13.34104874,GGT7
cg20066677,13.32700255,CHFR
cg18267374,13.32614877,NEFM
cg24407308,-12.95513488,DGKZ
cg10636246,-12.95489,AIM2
cg15569512,-12.95093372,COA8
cg07817698,12.90897644,DHODH
cg16854606,12.74522356,DAND5
cg12265604,12.6784476,HAS3
cg14689355,-12.59980654,ACVR2A
cg01651821,12.43450304,MITD1
cg14159818,-12.18111487,ADISSP
cg20162159,-12.17957599,MON1A
cg00230271,-12.15471329,TBCK
cg19008809,12.12001927,SFMBT1
cg09809672,-12.09921682,EDARADD
cg13994175,12.07884157,KIF9
cg03172991,-11.96946328,NFIX
cg00194146,-11.88629118,GFOD1
cg10225525,11.81083061,FUT8
cg08487374,11.67344393,TSC22D4
cg01450842,-11.65425604,STON1-GTF2A1L
cg18117393,11.53232389,NPL
cg08067365,-11.51984975,ISG15
cg17038116,-11.16561286,ASH1L
cg26665419,-11.15430006,MTRES1
cg20173259,11.11358119,LHB
cg08899632,11.08380298,ZFP64
cg04528819,11.07259285,KLF14
cg11177450,-10.94667271,SENP5
cg06908778,10.86511161,SPAG6
cg25092328,10.80113727,PXMP4
cg10922280,10.79008118,DPEP2
cg04836038,10.65458827,DOCK9
cg02229946,10.5122237,IL37
cg12269343,10.4580988,SEL1L
cg05294243,10.43369407,KLK13
cg01211097,-10.27522152,USP10
cg08529529,-10.22704896,ALOX5AP
cg10158181,-10.1880066,GRK4
cg26357744,-10.00204065,RASSF1
cg27655905,9.950424372,C11orf24
cg06189653,-9.928634297,PRR7
cg17641104,-9.926053105,CDK17
cg22495124,9.772363822,CACNG5
cg17129388,9.679594816,NGFR
cg19556572,9.567877534,AKNA
cg25136687,-9.522144355,REV3L
cg15344028,-9.504209291,ICOS
cg05270634,9.458683059,RND2
cg26866325,9.372871086,PPBPP2
cg25256723,-9.36844987,F5
cg03112869,9.309963576,FBXW12
cg07929310,-9.267771972,KIAA0513
cg16085042,-9.058118831,HSP90B1
cg05759269,-9.047212407,CDKN1A
cg14754581,8.9044998,CCRL2
cg01221637,-8.838557811,NOL4L
cg12261786,-8.80006302,ADIRF
cg17133388,-8.786659598,FAM162A
cg13120519,-8.761639169,ALKBH7
cg01441777,-8.741688217,CSNK1E
cg11233384,-8.702162118,AKR7A3
cg22971191,8.613889336,SLC10A2
cg00845900,-8.58936172,CPA4
cg04007936,-8.441092863,CARHSP1
cg26212924,-8.269454924,CYC1
cg13042288,-8.160794723,ANPEP
cg14473016,-8.146118724,RASD2
cg02976574,8.057451538,FNDC3B
cg05851163,-8.056495421,DSEL
cg17526300,8.038276564,PTER
cg16173067,8.01275733,SDCBP2
cg15811427,-8.009320965,FPR1
cg14916213,7.981658933,RBM4
cg04014889,-7.924579894,MAGEL2
cg22947000,-7.872570922,BCO1
cg25769980,-7.808838536,TLR6
cg02228185,-7.785341156,ASPA
cg03565081,7.763007186,C14orf93
cg15966757,-7.746394111,SLC6A13
cg09480837,-7.741831686,PLCE1
cg13564075,-7.65214571,PHF12
cg03991512,-7.60434303,LDHD
cg20761322,7.473261917,CIB2
cg23376526,-7.470945638,SLC27A3
cg02631957,-7.435453213,CSNK1G3
cg16933388,7.416346316,BSN
cg21099326,-7.319261619,TRIM35
cg26096837,7.269147318,FGF19
cg26394737,7.25927706,ABHD4
cg01519742,7.247589771,JAKMIP1
cg02016419,7.246984432,TEKT3
cg07654934,-7.183441358,LXN
cg24125648,7.120190402,HYPK
cg14747225,7.024834167,POLR3K
cg18003795,-6.99391822,ADA2
cg05087948,-6.991225132,CTSF
cg02151301,-6.962548699,HM13
cg05532892,6.729463914,PSMA1
cg08035942,-6.589880588,PTGR3
cg07484827,6.581498688,CHRNA10
cg17749443,6.468578944,ZFP37
cg11631518,6.461478745,KCNC2
cg22396353,6.4288385,GTSE1
cg14223995,-6.409663736,UCP1
cg22582569,6.352315,PPP2R1B
cg08169325,-6.322778588,STX2
cg22512531,6.279600362,CRTAM
cg21207418,6.268763011,ACP5
cg02154074,6.199036211,HTRA2
cg17940013,-6.195165774,GPR157
cg16648841,6.097618377,C8A
cg03724882,6.080591714,CDKN3
cg16313343,6.023874287,BRF1
cg21137706,-5.983252062,RXYLT1
cg10523019,5.941622921,RHBDD1
cg25459323,-5.900533275,A2MP1
cg20967028,5.85130181,ART4
cg23124451,-5.804862482,CBX7
cg07494518,-5.794138096,SIK1
cg26104204,-5.768101285,MAP3K10
cg12238343,5.749756441,RXFP3
cg06327515,5.716566436,PCDHB14
cg22991148,-5.681543236,TSPEAR
cg10052840,-5.67467637,SEMA6B
cg06134964,5.64268843,ITIH1
cg01626227,-5.640661125,TRIM4
cg02309431,-5.609942057,BPIFB6
cg22511262,5.567558371,WT1
